N°,FECHA,RAZON SOCIAL,PRECIO,VEHICULO_TIPO,PLACA_TIPO,SERVICIO_TIPO,TIPO DE PAGO,Nombre Día
72,2025-07-11 00:00:00,LINEAL NEGRA LLAMAFOOD,8,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,viernes
71,2025-07-11 00:00:00,HONDA ROJA,40,CAMIONETA,BKA-552,PREMIUM,EFECTIVO,viernes
76,2025-07-11 00:00:00,TOYOTA YARIS,45,CARRO,PLACA DESCONOCIDA,PREMIUM,EFECTIVO,viernes
75,2025-07-11 00:00:00,HYUNDAI ACCENT PLOMO,75,CARRO,FON-217,BLACK,YAPE,viernes
80,2025-07-11 00:00:00,KIA PICANTO NEGRO,13,CARRO,T2C-279,EXPRESS,EFECTIVO,viernes
79,2025-07-11 00:00:00,NISSAN SENTRA ROJO,13,CARRO,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,viernes
91,2025-07-12 00:00:00,JIM BLANCA,20,CAMIONETA,CDB-735,STANDAR,EFECTIVO,sábado
88,2025-07-12 00:00:00,LINEAL SENDA NEGRA,10,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,sábado
86,2025-07-12 00:00:00,,12,MOTO TAXI,PLACA DESCONOCIDA,STANDAR,EFECTIVO,sábado
87,2025-07-12 00:00:00,HONDA CR-V,40,CAMIONETA,B35-341,PREMIUM,PANADERIA PASTELERIA LA ESTRELLA,sábado
90,2025-07-12 00:00:00,DUSTER PLOMA,45,CAMIONETA,AZG-662,PREMIUM,DIANA,sábado
82,2025-07-12 00:00:00,HYUNDAI TUCSSON VERDE,45,CAMIONETA,PLACA DESCONOCIDA,PREMIUM,EFECTIVO,sábado
84,2025-07-12 00:00:00,MAZDA NEGRO,50,CARRO,PLACA DESCONOCIDA,PREMIUM,EFECTIVO,sábado
83,2025-07-12 00:00:00,MERCEDES GLA 200,80,CAMIONETA,ATG-289,BLACK,EFECTIVO,sábado
81,2025-07-12 00:00:00,HONDA,90,CAMIONETA,BYU-454,BLACK,YAPE,sábado
85,2025-07-12 00:00:00,FORD NEGRA,15,CAMIONETA,BXS-390,EXPRESS,EFECTIVO,sábado
89,2025-07-12 00:00:00,HYUNDAI CRETA,15,CAMIONETA,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,sábado
98,2025-07-13 00:00:00,ROJA,20,CAMIONETA,CLH-370,STANDAR,EFECTIVO,domingo
101,2025-07-13 00:00:00,,25,CAMIONETA,CDO-068,STANDAR,YAPE,domingo
93,2025-07-13 00:00:00,TOYOTA RUSH ROJA,25,CAMIONETA,CLT-199,STANDAR,YAPE,domingo
97,2025-07-13 00:00:00,KIA RIO NEGRO,15,CARRO,C2G-346,STANDAR,EFECTIVO,domingo
94,2025-07-13 00:00:00,HYUNDAI,20,CARRO,BVX-360,STANDAR,EFECTIVO,domingo
99,2025-07-13 00:00:00,NEGRO,30,CARRO,BZH-356,STANDAR,EFECTIVO,domingo
100,2025-07-13 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,domingo
96,2025-07-13 00:00:00,BLANCA,40,CAMIONETA,CAD-446,PREMIUM,EFECTIVO,domingo
92,2025-07-13 00:00:00,HYUNDAI CRETA,45,CAMIONETA,CCG-473,PREMIUM,YAPE,domingo
95,2025-07-13 00:00:00,,15,CARRO,BRB-277,EXPRESS,EFECTIVO,domingo
103,2025-07-14 00:00:00,BLANCO,30,CARRO,ANE-644,STANDAR,YAPE,lunes
102,2025-07-14 00:00:00,AZUL,12,MOTO TAXI,PLACA DESCONOCIDA,STANDAR,EFECTIVO,lunes
104,2025-07-14 00:00:00,GRIS,45,VEHICULO NO CONOCIDO,COI-161,PREMIUM,EFECTIVO,lunes
106,2025-07-15 00:00:00,AZUL,12,MOTO TAXI,8491-2D,STANDAR,EFECTIVO-YAPE,martes
107,2025-07-15 00:00:00,HYUNDAI TUCSSON BLANCA,45,CAMIONETA,PLACA DESCONOCIDA,PREMIUM,YAPE,martes
105,2025-07-15 00:00:00,JEPTOUR MORADA,50,CAMIONETA,CKH-295,PREMIUM,YAPE,martes
110,2025-07-16 00:00:00,HAVAL BLANCA,20,CAMIONETA,PLACA DESCONOCIDA,STANDAR,YAPE,miércoles
108,2025-07-16 00:00:00,BLANCA,25,CAMIONETA,AZX-143,STANDAR,EFECTIVO-YAPE,miércoles
111,2025-07-16 00:00:00,GRIS,20,CARRO,BDG-608,STANDAR,YAPE DEBE,miércoles
109,2025-07-16 00:00:00,STEYCHON AZUL,20,CARRO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,miércoles
114,2025-07-17 00:00:00,GRIS,25,CAMIONETA,BCA-462,STANDAR,YAPE,jueves
116,2025-07-17 00:00:00,GRIS,50,CAMIONETA,BRF-690,STANDAR,YAPE,jueves
113,2025-07-17 00:00:00,MAZDA NEGRO,30,CARRO,D2A-109,STANDAR,EFECTIVO,jueves
112,2025-07-17 00:00:00,NEGRO,30,CARRO,PLACA DESCONOCIDA,STANDAR,YAPE,jueves
117,2025-07-17 00:00:00,LINEAL LLAMAFOOD,8,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,jueves
115,2025-07-17 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,jueves
118,2025-07-17 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,jueves
120,2025-07-17 00:00:00,BLANCA,50,CAMIONETA,CPL-606,PREMIUM,EFECTIVO,jueves
119,2025-07-17 00:00:00,,10,MINIVAN,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,jueves
121,2025-07-18 00:00:00,NISSAN GRIS,20,CAMIONETA,BJG-158,STANDAR,EFECTIVO,viernes
123,2025-07-18 00:00:00,KIA NEGRO,30,CARRO,T2C-279,STANDAR,YAPE,viernes
122,2025-07-18 00:00:00,ROJO,30,CARRO,ADZ-060,STANDAR,YAPE,viernes
126,2025-07-18 00:00:00,LINEAL,8,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,viernes
125,2025-07-18 00:00:00,LINEAL LLAMAFOOD,8,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,viernes
124,2025-07-18 00:00:00,KIA SPORTAGE,50,CAMIONETA,CSE-172,PREMIUM,EFECTIVO,viernes
128,2025-07-19 00:00:00,MITSUBICHI GRIS,25,CAMIONETA,B90-418,STANDAR,EFECTIVO,sábado
139,2025-07-19 00:00:00,HYUNDAI GRAND I 10 BLANCO,15,CARRO,PLACA DESCONOCIDA,STANDAR,YAPE,sábado
127,2025-07-19 00:00:00,HYUNDAI ROJO,20,CARRO,BUJ-572,STANDAR,EFECTIVO,sábado
141,2025-07-19 00:00:00,HYUNDAI VELOZTER,20,CARRO,D9V-02,STANDAR,EFECTIVO,sábado
129,2025-07-19 00:00:00,KIA PICANTO,20,CARRO,AVV-148,STANDAR,YAPE,sábado
138,2025-07-19 00:00:00,ROJO,20,CARRO,B3V-105,STANDAR,EFECTIVO,sábado
133,2025-07-19 00:00:00,TOYOTA,20,CARRO,BH5-371,STANDAR,YAPE,sábado
140,2025-07-19 00:00:00,AUDI AZUL,30,CARRO,ARO-236,STANDAR,EFECTIVO,sábado
131,2025-07-19 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,sábado
132,2025-07-19 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,sábado
137,2025-07-19 00:00:00,LINEAL SENDA NEGRA,12,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,sábado
130,2025-07-19 00:00:00,,12,MOTO TAXI,9957-7F,STANDAR,YAPE,sábado
136,2025-07-19 00:00:00,NISSAN ROJO,45,CAMIONETA,CMY-672,PREMIUM,EFECTIVO,sábado
135,2025-07-19 00:00:00,CHANGAN WIGO BLANCO,50,CAMIONETA,CNT-352,PREMIUM,YAPE,sábado
134,2025-07-19 00:00:00,CHEVROLET ROJO,45,CARRO,D30-261,PREMIUM,YAPE,sábado
144,2025-07-20 00:00:00,PLOMO,20,CAMIONETA,PLACA DESCONOCIDA,STANDAR,EFECTIVO,domingo
146,2025-07-20 00:00:00,,35,CAMIONETA,U1E-276,STANDAR,EFECTIVO,domingo
142,2025-07-20 00:00:00,GRIS,20,CARRO,PLACA DESCONOCIDA,STANDAR,YAPE,domingo
145,2025-07-20 00:00:00,KIA,20,CARRO,CAI-604,STANDAR,EFECTIVO,domingo
147,2025-07-20 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,domingo
148,2025-07-20 00:00:00,ROJA,20,CAMIONETA,PLACA DESCONOCIDA,PREMIUM,EFECTIVO,domingo
143,2025-07-20 00:00:00,PLOMO,75,CAMIONETA,CP5-209,PREMIUM,EFECTIVO,domingo
153,2025-07-21 00:00:00,BLANCA,25,CAMIONETA,BCY-305,STANDAR,YAPE,lunes
154,2025-07-21 00:00:00,ROJA,25,CAMIONETA,CCO-692,STANDAR,EFECTIVO,lunes
152,2025-07-21 00:00:00,NEGRO,20,CARRO,PLACA DESCONOCIDA,STANDAR,YAPE,lunes
155,2025-07-21 00:00:00,BRANCO,20,VEHICULO NO CONOCIDO,PLACA DESCONOCIDA,STANDAR,YAPE,lunes
149,2025-07-21 00:00:00,LINEAL,10,MOTO,0464-BB,STANDAR,YAPE,lunes
151,2025-07-21 00:00:00,,12,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,lunes
150,2025-07-21 00:00:00,BLANCA,45,CAMIONETA,APA-751,PREMIUM,EFECTIVO,lunes
156,2025-07-21 00:00:00,BLANCO,15,CAMIONETA,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,lunes
162,2025-07-22 00:00:00,NISSAN FRONTIER BLANCA,20,CAMIONETA,CER-822,STANDAR,EFECTIVO,martes
163,2025-07-22 00:00:00,AZUL,25,CAMIONETA,PLACA DESCONOCIDA,STANDAR,YAPE,martes
159,2025-07-22 00:00:00,HYUNDAI SANTA FE,25,CAMIONETA,BJJ-333,STANDAR,EFECTIVO,martes
161,2025-07-22 00:00:00,KIA RIO NEGRO,15,CARRO,C2G-346,STANDAR,EFECTIVO,martes
157,2025-07-22 00:00:00,HYUNDAI ACCENT NEGRO,20,CARRO,CRJ-223,STANDAR,YAPE,martes
160,2025-07-22 00:00:00,LINEAL ROJA,10,MOTO,5599-RA,STANDAR,YAPE,martes
158,2025-07-22 00:00:00,MITSUBICHI BLANCA,15,CAMIONETA,PLACA DESCONOCIDA,EXPRESS,YAPE,martes
167,2025-07-23 00:00:00,CELESTE,25,CAMIONETA,PLACA DESCONOCIDA,STANDAR,EFECTIVO,miércoles
168,2025-07-23 00:00:00,TOYOTA NEGRO,30,CARRO,A7Q-532,STANDAR,EFECTIVO,miércoles
165,2025-07-23 00:00:00,KIA RIO NEGRO,30,CARRO,PLACA DESCONOCIDA,PREMIUM,YAPE,miércoles
164,2025-07-23 00:00:00,AUDI RICAR A3,25,CARRO,AFX-122,EXPRESS,YAPE,miércoles
166,2025-07-23 00:00:00,FORD RANGER,250,CAMIONETA,AFC-728,LAVADO DE SALON,EFECTIVO,miércoles
169,2025-07-24 00:00:00,FORD RANGER,30,CAMIONETA,BHP-930,STANDAR,YAPE 25 - EFECTIVO 5,jueves
171,2025-07-24 00:00:00,SUBARU,35,CAMIONETA,AMG-156,PREMIUM,EFECTIVO,jueves
170,2025-07-24 00:00:00,JEPTOUR MORADA,50,CAMIONETA,CKH-295,PREMIUM,YAPE,jueves
175,2025-07-25 00:00:00,KIA SPORTAGE,25,CAMIONETA,ALE-416,STANDAR,YAPE,viernes
172,2025-07-25 00:00:00,WOLSVAGEN,25,CARRO,B3K-429,STANDAR,YAPE,viernes
176,2025-07-25 00:00:00,LINEAL HONDA NAVI,10,MOTO,7980-YB,STANDAR,YAPE,viernes
173,2025-07-25 00:00:00,KIA,45,CAMIONETA,BRF-690,PREMIUM,YAPE,viernes
174,2025-07-25 00:00:00,KIA SPORTAGE ROJA,45,CAMIONETA,BRH-432,PREMIUM,YAPE,viernes
177,2025-07-25 00:00:00,MAZDA ROJO,40,CARRO,C4Z-096,PREMIUM,YAPE,viernes
178,2025-07-25 00:00:00,TAXI(SÒLO LLANTAS),3,MOTO,PLACA DESCONOCIDA,EXPRESS,EFECTIVO,viernes
188,2025-07-26 00:00:00,FORD,25,CAMIONETA,BKI-765,STANDAR,EFECTIVO,sábado
182,2025-07-26 00:00:00,MAZDA,25,CAMIONETA,CJX-681,STANDAR,EFECTIVO,sábado
180,2025-07-26 00:00:00,SUZUKI,35,CAMIONETA,B16-559,STANDAR,EFECTIVO,sábado
190,2025-07-26 00:00:00,KIA,20,CARRO,ATO-035,STANDAR,YAPE,sábado
179,2025-07-26 00:00:00,MAZDA,20,CARRO,ASJ-285,STANDAR,YAPE,sábado
186,2025-07-26 00:00:00,CALDINA,35,CARRO,A70-306,STANDAR,EFECTIVO,sábado
181,2025-07-26 00:00:00,LINEAL,10,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,sábado
185,2025-07-26 00:00:00,LINEAL,10,MOTO,4890-5C,STANDAR,EFECTIVO,sábado
183,2025-07-26 00:00:00,LINEAL PULSAR 160,10,MOTO,4627-AC,STANDAR,EFECTIVO,sábado
187,2025-07-26 00:00:00,LINEAL NEXUS 250,12,MOTO,7452-AD,STANDAR,EFECTIVO,sábado
184,2025-07-26 00:00:00,,50,CAMIONETA,CPL-606,PREMIUM,EFECTIVO,sábado
189,2025-07-26 00:00:00,RENAULT,15,CAMIONETA,AZ6-662,EXPRESS,YAPE,sábado
193,2025-07-27 00:00:00,NISSA,25,CAMIONETA,BUU-542,STANDAR,EFECTIVO,domingo
196,2025-07-27 00:00:00,PEUGEOT,35,CAMIONETA,BHH-912,STANDAR,EFECTIVO,domingo
195,2025-07-27 00:00:00,KIA RIO NEGRO,15,CARRO,C2G-346,STANDAR,EFECTIVO,domingo
194,2025-07-27 00:00:00,ROJO,20,CARRO,AAL-113,STANDAR,YAPE,domingo
192,2025-07-27 00:00:00,SAIL,20,CARRO,COY-674,STANDAR,YAPE,domingo
191,2025-07-27 00:00:00,RENAULT,25,CARRO,F4M-699,STANDAR,YAPE,domingo
199,2025-07-28 00:00:00,SUZUKI,20,CAMIONETA,CLH-370,STANDAR,EFECTIVO,lunes
198,2025-07-28 00:00:00,TUCSSON,25,CAMIONETA,B2J-013,STANDAR,EFECTIVO,lunes
203,2025-07-28 00:00:00,KIA,30,CARRO,BZH-356,STANDAR,YAPE,lunes
200,2025-07-28 00:00:00,LINEAL ROJA,10,MOTO,PLACA DESCONOCIDA,STANDAR,YAPE,lunes
197,2025-07-28 00:00:00,ROJA,12,MOTO TAXI,PLACA DESCONOCIDA,STANDAR,EFECTIVO,lunes
201,2025-07-28 00:00:00,NEGRO,40,CARRO,PLACA DESCONOCIDA,PREMIUM,EFECTIVO,lunes
202,2025-07-28 00:00:00,AUDI Q7,80,CAMIONETA,ADY-216,BLACK,YAPE,lunes
209,2025-07-29 00:00:00,SUZUKI BLANCA,25,CAMIONETA,CTO-540,STANDAR,YAPE,martes
205,2025-07-29 00:00:00,HYUNDAI ACCENT NEGRO,20,CARRO,ALD-573,STANDAR,YAPE,martes
208,2025-07-29 00:00:00,KIA RIO ROJO,20,CARRO,P3D-293,STANDAR,YAPE,martes
207,2025-07-29 00:00:00,BMW BLANCA,45,CAMIONETA,BBJ-074,PREMIUM,YAPE,martes
206,2025-07-29 00:00:00,CHEVROLET,15,CAMIONETA,CJV-626,EXPRESS,YAPE,martes
204,2025-07-29 00:00:00,ROJA,15,CAMIONETA,BVE-486,EXPRESS,YAPE,martes
211,2025-07-30 00:00:00,HONDA CR-V NEGRA,25,CAMIONETA,F4S-553,STANDAR,YAPE,miércoles
212,2025-07-30 00:00:00,HYUNDAI i10,20,CARRO,W3S-498,STANDAR,EFECTIVO,miércoles
210,2025-07-30 00:00:00,KIA RIO PLOMO,20,CARRO,BUZ-047,STANDAR,EFECTIVO,miércoles
214,2025-07-30 00:00:00,SUV CHEVROLET,35,CARRO,Z7B-031,STANDAR,EFECTIVO,miércoles
223,2025-07-31 00:00:00,MARRON,15,CAMIONETA,PLACA DESCONOCIDA,STANDAR,YAPE,jueves
218,2025-07-31 00:00:00,JAC PLOMO,20,CAMIONETA,BVF-453,STANDAR,EFECTIVO,jueves
215,2025-07-31 00:00:00,TOYOTA,25,CAMIONETA,PLACA DESCONOCIDA,STANDAR,EFECTIVO,jueves
221,2025-07-31 00:00:00,HYUNDAI CRETA BLANCA,35,CAMIONETA,BAZ-622,STANDAR,EFECTIVO,jueves
216,2025-07-31 00:00:00,MITSUBICHI BLANCA,35,CAMIONETA,BCY-305,STANDAR,YAPE,jueves
227,2025-07-31 00:00:00,KIA,15,CARRO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,jueves
226,2025-07-31 00:00:00,TOYOTA BLANCO,20,CARRO,H2F-290,STANDAR,EFECTIVO,jueves
222,2025-07-31 00:00:00,TOYOTA ROJO,30,CARRO,T5V-390,STANDAR,YAPE,jueves
225,2025-07-31 00:00:00,LINEAL NEGRO,10,MOTO,PLACA DESCONOCIDA,STANDAR,EFECTIVO,jueves
224,2025-07-31 00:00:00,AZUL,12,MOTO TAXI,PLACA DESCONOCIDA,STANDAR,YAPE,jueves
229,2025-07-31 00:00:00,DONFEN PLOMA,40,CAMIONETA,CCW-921,PREMIUM,YAPE,jueves
219,2025-07-31 00:00:00,BMW PLOMO,45,CARRO,CPS-209,PREMIUM,EFECTIVO,jueves
220,2025-07-31 00:00:00,HYUNDAI PLOMO,45,CARRO,FON-217,PREMIUM,YAPE,jueves
228,2025-07-31 00:00:00,BCP,10,VEHICULO NO CONOCIDO,PLACA DESCONOCIDA,EXPRESS,YAPE,jueves
7,2025-08-01 00:00:00,KIA SORENTO GRIS + CERA,35,CAMIONETA,D1M-381,STANDAR,YAPE,viernes
6,2025-08-01 00:00:00,TOYOTA ETIOS NEGRO,20,CARRO,BAE-539,STANDAR,EFECTIVO,viernes
1,2025-08-01 00:00:00,TOYOTA PLOMO,20,CARRO,PLACA DESCONOCIDA,STANDAR,YAPE,viernes
9,2025-08-01 00:00:00,CHANGAN BLANCA,50,CAMIONETA,CMB-623,PREMIUM,YAPE,viernes
8,2025-08-01 00:00:00,JAC,15,CAMIONETA,BP2-228,EXPRESS,YAPE,viernes
11,2025-08-02 00:00:00,FORD RANGER,25,CAMIONETA,BKI-765,STANDAR,YAPE,sábado
13,2025-08-02 00:00:00,KIA SPORTAGE AZUL,25,CAMIONETA,BRF-690,STANDAR,YAPE,sábado
17,2025-08-02 00:00:00,JAC ROJO,20,CARRO,BRB-277,STANDAR,EFECTIVO,sábado
19,2025-08-02 00:00:00,MAZDA,20,CARRO,C42-096,STANDAR,YAPE,sábado
12,2025-08-02 00:00:00,KIA RIO + CERA,30,CARRO,BZH-356,STANDAR,YAPE,sábado
15,2025-08-02 00:00:00,SUBARU NEGRO+CERA,30,CARRO,AOZ-563,STANDAR,YAPE,sábado
